Label,z_mean,z_std,z_aad,z_min,z_max,z_maxmin_diff,z_median,z_mad,z_IQR,z_neg_count,z_pos_count,z_above_mean,z_peak_count,z_skewness,z_kurtosis,z_energy,avg_result_accl,sma,z_mean_fft,z_std_fft,z_aad_fft,z_min_fft,z_max_fft,z_maxmin_diff_fft,z_median_fft,z_mad_fft,z_IQR_fft,z_above_mean_fft,z_peak_count_fft,z_skewness_fft,z_kurtosis_fft,z_energy_fft,avg_result_accl_fft
0,10.86,1.0772186407596183,0.3832000000000005,4,13,9,11.0,0.0,0.0,0,50,47,2,-5.095892011015205,30.41631972999363,59.55,32.82929580701462,21.380000000000003,7.351164704876964,2.2725446341984696,1.8468812153029455,3.7352914918055493,12.126052964912738,8.390761473107188,7.198003168320786,1.6277242690045552,3.2060952680833186,21,21,0.4357482001691275,-0.6773270976854078,58.019999999999996,14.345873674340265
1,10.88,1.088852607105296,0.4207999999999993,4,12,8,11.0,0.0,0.0,0,50,46,4,-5.059443140698906,29.18606544389624,59.78,32.40413148197866,21.290000000000003,7.393411148707708,2.4139733852161496,1.807450474033565,1.9801881419393055,13.333800780628644,11.35361263868934,7.357933447242556,1.3075121697863734,2.285537958889493,23,19,0.15348732016840064,0.4346438830728907,59.27999999999998,25.679771362390195
1,11.08,0.5230678732248808,0.26080000000000003,9,13,4,11.0,0.0,0.0,0,50,6,3,0.09659609847181493,6.952703395916693,61.519999999999996,32.536445507044455,21.470000000000006,3.3153313507217868,1.7227192773027884,1.4433368846884025,0.09322209246492924,6.84544207099639,6.752219978531461,2.9639935095824774,1.268832421898127,2.5543840860275107,22,17,0.327037409884595,-0.572829246096973,13.680000000000001,26.019117043395546
1,11.06,0.31048349392520047,0.11520000000000045,11,13,2,11.0,0.0,0.0,0,50,2,1,5.426952756200191,29.166405537094697,61.21,32.948292424633316,21.46,2.109274306068092,0.6850760897154018,0.6106832485172625,1.0000000000000004,2.9947385203482977,1.9947385203482972,2.1791828564585276,0.6343335393859446,1.3040209482026717,26,0,-0.24174723268143689,-1.393401841371276,4.820000000000001,12.59020115073645
1,10.76,1.839130229211624,0.5408000000000003,-2,12,14,11.0,0.0,0.0,1,49,48,3,-6.66661641778716,43.35196854058494,59.58,33.12614387612097,21.560000000000002,13.08014950479722,1.2170117105359475,1.008003364385733,10.13672985093811,14.95731792635283,4.820588075414721,13.347219557419688,0.9399685287603923,1.6066772839997707,27,14,-0.4843551875403598,-0.40972070648254055,169.11999999999998,27.09987544090521
1,10.88,1.9456618411224493,0.5503999999999992,-2,15,17,11.0,0.0,0.0,1,49,48,4,-5.598461772844224,35.819951782400594,61.08,33.44873623933444,21.86,13.559098915169033,3.0485560108876175,2.3442457551767406,6.261533549837133,18.671715350081666,12.410181800244533,13.978599504954552,1.6499795084352336,3.388086324687629,26,18,-0.5770514436915228,-0.049175403065593315,189.27999999999997,30.236344952744766
0,11.28,1.1320777358467924,0.5039999999999994,11,18,7,11.0,0.0,0.0,0,50,5,3,4.894649386740979,24.176464812243132,64.25999999999999,33.58818859926889,21.980000000000004,7.560905417335039,2.867135220416785,2.412923373342833,0.8147444060143022,11.98977431618593,11.175029910171627,7.523621360173137,2.1025560957905354,3.782564217414575,24,20,-0.34293578681847925,-0.6255409587686738,64.07999999999997,24.450799661208606
1,11.06,1.156027681329474,0.3152000000000005,7,18,11,11.0,0.0,0.0,0,50,2,3,3.4560028484770062,26.042957886474966,61.83,33.05349033847088,21.610000000000003,7.7293435435890565,2.9053264626485453,2.302830410084247,1.916706049124574,12.248259615516552,10.331553566391978,7.565365726563826,2.6264651685790845,5.049067145657558,20,18,-0.4159962528083259,-0.6586760501271134,66.81999999999998,24.751368907377007
1,10.7,1.6401219466856725,0.6040000000000006,0,12,12,11.0,0.0,0.0,0,49,47,3,-5.7689064257049685,33.75694089357525,58.59,32.643214291631864,21.160000000000004,11.341624157940116,2.934699204213765,2.6255105796005394,5.42158896319985,17.0,11.57841103680015,11.720650279826714,2.540310392327765,4.4638631072366675,27,11,-0.12516596219596818,-1.051168528086318,134.5,18.540579455448768
1,11.04,2.0587374771932434,0.5151999999999992,0,20,20,11.0,0.0,0.0,0,49,3,3,-1.3739412639037623,20.800750042645213,63.06,33.07540009474023,21.57,13.491310891787194,5.850592139290516,4.9411442078144825,3.5827678968592327,22.939829555049805,19.357061658190574,13.478897178717425,5.1690988145680965,10.336348344420015,24,14,-0.25121615841649814,-1.1160330570143044,211.92000000000002,20.02663478632206
1,10.84,3.0223169919781743,0.8608000000000001,-8,20,28,11.0,0.0,0.0,1,49,47,5,-4.267438282987828,28.914241942846008,63.31999999999999,33.316903496505,21.910000000000004,20.508018963545254,6.742549556169304,5.629275904691427,8.218755889835029,30.231521093776255,22.01276520394123,20.39774912367652,5.182957812034143,9.709764457387056,24,20,-0.29975326356406645,-0.9716909284615292,456.72,30.57997065198177
1,10.78,2.9345527768298876,0.8536000000000005,-8,19,27,11.0,0.0,0.0,1,49,47,5,-4.802531003168844,31.782187857051937,62.41,33.19737153179165,21.720000000000002,20.097350261823202,5.955154019198029,5.164216160416376,8.704694347257416,29.816718885268816,21.1120245380114,19.35403232239372,6.103085531797284,10.679458492757123,24,16,-0.267781177465802,-1.173431925033802,430.58,27.971589765047487
1,11.3,1.315294643796591,0.5520000000000006,11,19,8,11.0,0.0,0.0,0,50,4,4,4.9203243783442865,23.757492732800934,64.71000000000001,33.49572730154609,22.010000000000005,8.69128155847431,3.567482444774365,3.213151229938245,3.0,14.76144064359122,11.76144064359122,8.217747958587449,3.385631704950744,6.853630710463247,24,22,0.08445132286061584,-1.405687844287713,86.49999999999997,31.35202268890093
1,11.12,0.7386474125047754,0.26559999999999934,10,16,6,11.0,0.0,0.0,0,50,3,3,5.761343099530615,35.290064584927926,62.099999999999994,33.53366192377811,22.010000000000005,5.134590250040178,1.2135557910825032,0.9498109029028052,2.813153726494503,7.851897120958896,5.038743394464394,5.150520754739313,0.8425170459248514,1.5744830876264242,26,20,-0.026010757483446154,-0.3868991275865228,27.279999999999994,30.709386141379127
1,10.98,0.31559467676118996,0.11759999999999962,10,12,2,11.0,0.0,0.0,0,50,47,2,-0.44589754494734773,6.943339623554467,60.33,32.84230411915255,21.4,2.0525092114003867,0.9321151163766124,0.8162296937959613,0.6660000506283381,3.7536875127998433,3.0876874621715054,1.71536927910966,0.6110166628946152,1.562669538926849,22,18,0.40770299009021016,-1.0960170450123783,4.9799999999999995,15.774580523800157
1,11.0,0.282842712474619,0.08,10,12,2,11.0,0.0,0.0,0,50,2,2,0.0,9.5,60.54,32.81734785207676,21.36,1.8451491118608847,0.8228349822778622,0.683734017278395,0.0314789553991679,3.0776835371752544,3.0462045817760863,1.9685841534330064,0.6261769597217677,1.19225950315268,29,21,-0.4905409716756596,-0.6328843622365139,3.9999999999999982,13.776994686022856
1,11.02,0.13999999999999999,0.03919999999999959,11,12,1,11.0,0.0,0.0,0,50,1,1,6.857142857142868,45.02040816326542,60.730000000000004,33.015804146524744,21.370000000000005,1.0,2.7082179248158188e-15,1.5656410408489452e-15,0.9999999999999932,1.000000000000008,1.4765966227514582e-14,0.9999999999999999,1.1102230246251565e-16,1.3322676295501878e-15,9,17,0.6039128261822657,2.5902921446136453,0.98,8.132422595757198
0,11.04,0.19595917942265423,0.07679999999999922,11,12,1,11.0,0.0,0.0,0,50,2,1,4.694855340334438,20.041666666666753,60.96,33.06086751932849,21.520000000000003,1.257980243011181,0.6137339665220717,0.5341901650557753,1.1102230246251565e-16,1.996053456856543,1.9960534568565427,1.3690942118573775,0.5175356287272332,1.0734049995626833,28,0,-0.48001281770241583,-1.0727682790535764,1.9199999999999984,15.548813304212391
0,11.1,0.36055512754639896,0.1839999999999997,11,13,2,11.0,0.0,0.0,0,50,4,2,3.840232127713129,14.757396449704157,61.67,33.356124620119985,21.890000000000004,2.2766606594930026,1.2039390776702008,1.0611381357058782,0.8103406902161953,4.859059092275998,4.048718402059802,2.148961141749635,1.015527014348662,2.1260647380965465,20,15,0.5040265778980162,-0.9860557582925336,6.499999999999998,22.436957681546605
1,11.1,0.41231056256176607,0.1879999999999997,11,13,2,11.0,0.0,0.0,0,50,3,2,4.108838824144938,15.494809688581327,61.69,33.29237330711928,21.720000000000002,2.682151683555073,1.216360034758536,1.0421721439969993,0.7265425280053615,4.7750037271766645,4.048461199171303,2.9080027930686176,1.1606546262597783,1.5974476515860756,26,22,-0.04277428818995376,-1.1321594638852497,8.499999999999998,19.870801121447055
1,11.16,1.0268398122394748,0.3472000000000001,10,18,8,11.0,0.0,0.0,0,50,2,2,5.994082027565072,36.616416559785044,62.8,33.08399285808301,21.57,7.0193497692065465,2.1271218077220984,2.0094117339629114,4.009844509062068,9.99290071118795,5.983056202125882,6.0,1.9901554909379318,3.832538758844703,24,24,0.023538463868244455,-1.6102309221258686,52.72,12.629324623839185
