,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
y_maxmin_diff,583.0,34.82161234991424,51.22347520257534,0.0,8.0,16.0,26.0,236.0,2623.8444118288503,2.2986723893345444,4.601613475409993
z_maxmin_diff,583.0,29.893653516295025,46.250130612205474,0.0,5.0,14.0,24.0,224.0,2139.0745816460662,2.395946843508194,5.042452606381866
x_median,583.0,2.108919382504288,3.6019357193708146,0.0,0.0,1.0,1.0,11.0,12.973940926479347,1.6903978280831842,0.9773409705641933
y_median,583.0,68.57890222984562,83.21603638839628,30.0,31.0,31.0,31.0,253.0,6924.908712194892,1.7471493285880644,1.0563796624931912
z_median,583.0,25.203259005145796,31.15674163801621,9.0,10.0,11.0,13.0,95.0,970.742549498093,1.7448620167902062,1.0616951838404431
x_mad,583.0,0.47084048027444253,1.083303690975374,0.0,0.0,0.0,1.0,9.0,1.1735468868808685,4.4021920171496065,24.106049173588453
y_mad,583.0,0.19897084048027444,0.5150974660119229,0.0,0.0,0.0,0.0,3.0,0.26532539949190403,3.2797879009522126,12.708190656897829
z_mad,583.0,0.2281303602058319,0.46280680748301356,0.0,0.0,0.0,0.0,2.0,0.21419014105261916,1.9221327025431565,2.9783687391519194
x_IQR,583.0,0.9764150943396226,2.146177857124368,0.0,0.0,0.0,1.0,18.25,4.606079394410945,4.597764480559461,25.503506588603567
y_IQR,583.0,1.1260720411663807,13.036270358269949,0.0,0.0,0.0,0.0,223.0,169.94434485390772,16.91445088740893,286.36221440913897
z_IQR,583.0,0.9948542024013722,4.427292456169147,0.0,0.0,1.0,1.0,75.0,19.60091849245224,16.108639346944482,268.0591494917974
x_neg_count,583.0,6.210977701543739,5.041928962994898,0.0,3.0,6.0,8.0,33.0,25.4210476678868,1.5979788545251083,5.294654231543374
y_neg_count,583.0,0.0137221269296741,0.11643489239019005,0.0,0.0,0.0,0.0,1.0,0.013557084165915135,8.381539196922501,68.48512931486061
z_neg_count,583.0,0.2469982847341338,0.6237458165307921,0.0,0.0,0.0,0.0,6.0,0.38905884363966453,3.3920006664190576,16.587750558477534
x_pos_count,583.0,53.504288164665525,36.67535993352469,0.0,13.0,56.0,91.0,100.0,1345.0820262535883,-0.08323381889444054,-1.599130425802225
y_pos_count,583.0,99.86792452830188,2.1502138424299564,53.0,100.0,100.0,100.0,100.0,4.623419568177398,-19.668964250266956,407.41649261459156
z_pos_count,583.0,99.53859348198971,2.247901521096622,53.0,100.0,100.0,100.0,100.0,5.053061248548508,-16.89293352865677,330.6787339088028
x_above_mean,583.0,38.99828473413379,31.738758550133415,0.0,9.0,35.0,61.0,96.0,1007.3487943036669,0.3250576032218813,-1.2779732581132681
y_above_mean,583.0,38.21097770154374,36.85615788614391,0.0,8.0,15.0,85.5,98.0,1358.3763741283678,0.6039107735505885,-1.436199182418488
z_above_mean,583.0,36.492281303602056,30.878926500631223,0.0,6.0,35.0,47.0,99.0,953.5081018313853,0.6558096646803092,-0.5893245278586949
x_peak_count,583.0,15.430531732418524,11.703300598795979,0.0,6.0,11.0,28.0,36.0,136.9672449057783,0.1513228954642726,-1.5708759443323677
y_peak_count,583.0,10.264150943396226,8.413019769405466,0.0,5.0,7.0,13.0,36.0,70.7789016404072,1.245029468438685,0.3382875357743451
z_peak_count,583.0,14.948542024013722,10.953388926278022,0.0,4.0,18.0,25.0,35.0,119.97672897030999,-0.05708976708652001,-1.6073438512705789
x_skewness,501.0,0.7107110964516811,3.945860456102366,-8.846950181531382,-2.309258736481317,0.6271995794993194,3.730150136149264,9.849370589540277,15.569814739032369,0.006809554119548615,-0.5222197976451084
y_skewness,563.0,0.5242020717832708,3.868689452594887,-9.161923848588543,-2.672585948287636,0.8888370210561716,3.370605747179366,9.469483066816512,14.966758080618927,-0.1823129262032048,-0.6695949182327969
z_skewness,515.0,0.07915391299051698,4.193570094144679,-9.849370589540294,-3.120989297862096,0.2722676092877173,3.1485219281917116,9.849370589540284,17.586030134504615,-0.15825809495839926,-0.5638524495627486
x_kurtosis,501.0,28.998794815444437,18.70592368356406,-1.9983993597438985,16.32933399498126,24.875733323007864,36.28918005796688,95.01010101010114,349.9115808553227,1.2133440932919133,1.5302312817322705
y_kurtosis,563.0,26.287132169337923,17.24424899237421,-1.9200326397388816,15.09062012564893,22.763433244518176,32.9965512501125,90.6112064968606,297.364123310999,1.2542382766327649,1.7960164952363846
z_kurtosis,515.0,29.9291216034439,20.640785192001758,-1.9983993597438976,15.689092715344223,26.393274517438595,41.43714358944564,95.01010101010122,426.042013342359,0.813656133984632,0.5023778584793179
x_energy,583.0,116.16125214408235,293.18934467139457,0.0,1.69,5.93,14.13,1760.69,85959.9918288418,3.057230213019825,9.58332535599691
y_energy,583.0,11549.271869639795,23264.153929794575,885.46,946.3,963.98,981.27,64668.77,541220858.0691764,1.7583411002695097,1.1158480860195268
z_energy,583.0,1626.3198113207545,3292.790589660462,85.08,111.315,122.73,169.0,9719.02,10842469.867356492,1.7725973106227546,1.1846810491013202
avg_result_accl,583.0,73.42638882595236,88.7975135138022,32.259353855490275,32.766921522826834,32.95895206650772,33.22195155999016,273.38721724149303,7884.998406233885,1.7492044197964705,1.075368379263383
sma,583.0,96.87080617495712,118.4522941056957,41.21999999999999,42.245000000000005,43.15,44.32499999999999,371.2300000000001,14030.945978902231,1.7618725845849226,1.1306386102443864
