Time,X,Y,Z,Tap,Double_Tap
2025-03-02T19:15:46.216282,16,244,112,0,0
2025-03-02T19:15:46.237283,16,245,113,0,0
2025-03-02T19:15:46.259672,15,245,113,0,0
2025-03-02T19:15:46.281921,16,244,112,0,0
2025-03-02T19:15:46.303991,16,244,112,0,0
2025-03-02T19:15:46.325789,17,243,113,0,0
2025-03-02T19:15:46.347715,17,244,112,0,0
2025-03-02T19:15:46.369802,16,244,112,0,0
2025-03-02T19:15:46.391992,16,244,112,0,0
2025-03-02T19:15:46.413702,17,244,113,0,0
2025-03-02T19:15:46.435838,15,244,113,0,0
2025-03-02T19:15:46.457795,16,245,111,0,0
2025-03-02T19:15:46.479649,16,245,113,0,0
2025-03-02T19:15:46.502430,17,244,113,0,0
2025-03-02T19:15:46.523554,16,244,112,0,0
2025-03-02T19:15:46.546790,17,244,112,0,0
2025-03-02T19:15:46.669548,17,244,113,0,0
2025-03-02T19:15:46.677671,16,243,112,0,0
2025-03-02T19:15:46.684740,16,244,112,0,0
2025-03-02T19:15:46.692379,17,244,112,0,0
2025-03-02T19:15:46.699494,17,245,113,0,0
2025-03-02T19:15:46.706709,16,243,114,0,0
2025-03-02T19:15:46.712917,16,245,114,0,0
2025-03-02T19:15:46.720374,16,244,112,0,0
2025-03-02T19:15:46.739643,17,244,113,0,0
2025-03-02T19:15:46.761421,16,244,112,0,0
2025-03-02T19:15:46.784072,-26,210,99,0,0
2025-03-02T19:15:46.805184,-60,228,129,0,0
2025-03-02T19:15:46.827982,42,244,104,0,0
2025-03-02T19:15:46.850054,95,243,136,0,0
2025-03-02T19:15:46.871557,56,216,107,0,0
2025-03-02T19:15:46.893582,1,246,98,0,0
2025-03-02T19:15:46.915974,-16,255,110,0,0
2025-03-02T19:15:46.937575,42,207,99,0,0
2025-03-02T19:15:46.959421,46,252,113,0,0
2025-03-02T19:15:46.983525,4,255,109,0,0
2025-03-02T19:15:47.004392,6,242,115,0,0
2025-03-02T19:15:47.025550,34,247,113,0,0
2025-03-02T19:15:47.048055,18,239,110,0,0
2025-03-02T19:15:47.069437,10,243,112,0,0
2025-03-02T19:15:47.092766,25,242,113,0,0
2025-03-02T19:15:47.228012,21,244,112,0,0
2025-03-02T19:15:47.235292,12,243,111,0,0
2025-03-02T19:15:47.242238,14,245,113,0,0
2025-03-02T19:15:47.249211,18,246,112,0,0
2025-03-02T19:15:47.256907,15,244,113,0,0
2025-03-02T19:15:47.320420,16,244,113,1,0
2025-03-02T19:15:47.342133,17,245,112,0,0
